file,language,runtime,wer,mer,wil,wip,hits,substitutions,insertions,deletions
bb158br2509_sl.m4a,en-US,70.668095,0.06688741721854305,0.06491002570694088,0.09353234185887194,0.9064676581411281,4365,137,138,28
gk220dt2833_Ali_Shan_7of10_sl.mp4,en-IN,56.330507,0.14247740563530037,0.13386613386613386,0.17090869383946472,0.8290913061605353,1734,73,121,74
tc482fh1865_kfe_project_2023_wallace_sl.mp4,en-US,33.199306,0.11813643926788686,0.11396468699839486,0.17695615532553977,0.8230438446744602,552,42,22,7
kp010zv7055_a_sl.m4a,es-US,66.189025,0.9070866141732283,0.9070866141732283,0.9646329692659386,0.035367030734061465,59,96,0,480
qf378nj5000_sl.mp4,en-US,124.873079,1.3258015924252207,0.9773159898477157,0.999301733826767,0.0006982661732329775,143,4502,1657,2
fh290wd1772_v2_sp_sl.m4a,en-US,58.902173,0.855072463768116,0.855072463768116,0.8902064119455424,0.10979358805445762,50,16,0,279
bg405cn7261_v2_sl.mp4,en-US,74.879289,0.06273867975995635,0.060209424083769635,0.07872757882794013,0.9212724211720599,1795,36,77,2
gn213vd3845_ev_1_sl.mp4,es-US,73.102763,0.15930599369085174,0.15855572998430142,0.2422269816317273,0.7577730183682727,536,59,3,39
gj097zq7635_a_sl.m4a,en-US,110.596667,0.15226781857451405,0.1418867924528302,0.19394986507314982,0.8060501349268502,6822,430,542,156
br525sp8033_FV4289_v4_sl.mp4,ru-RU,40.929281,0.19858156028368795,0.18855218855218855,0.29706145765255487,0.7029385423474451,241,37,15,4
bw689yg2740_sl.mp4,en-US,196.327093,0.19036251105216623,0.16697688847525982,0.20413309798608947,0.7958669020139105,10741,492,1584,77
